lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_flat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_flat
0.005,ok,4,0.0,0,0.0,0,0.0,,0.20797509,0.83190036,0.20850012,0.83400048,0.20797509,37.5413
0.01,ok,4,0.0,0,0.0,0,0.0,,0.40502517,1.62010068,0.4059501,1.6238004,0.40502517,104.282
0.02,UNSTBL,4,0.0,0,0.0,0,0.0,,0.50525,2.021,0.5192508,2.0770032,0.50525,157.618
0.03,UNSTBL,4,0.0,0,0.0,0,0.0,,0.5277518999999999,2.1110075999999998,0.5225016,2.0900064,0.5277518999999999,173.889
0.05,UNSTBL,4,0.0,0,0.0,0,0.0,,0.5050006,2.0200024,0.5687481,2.2749924,0.5050006,161.059
0.07,UNSTBL,4,0.0,0,0.0,0,0.0,,0.5011263,2.0045052,0.5632484,2.2529936,0.5011263,164.175
0.1,UNSTBL,4,0.0,0,0.0,0,0.0,,0.4967489,1.9869956,0.6189979,2.4759916,0.4967489,136.522
0.15,UNSTBL,4,0.0,0,0.0,0,0.0,,0.48624829999999997,1.9449931999999999,0.6044983,2.4179932,0.48624829999999997,132.773
0.2,UNSTBL,4,0.0,0,0.0,0,0.0,,0.4927499,1.9709996,0.6097486,2.4389944,0.4927499,139.846
0.3,UNSTBL,4,0.0,0,0.0,0,0.0,,0.48999790000000004,1.9599916000000002,0.6169984000000001,2.4679936000000002,0.48999790000000004,142.329
