mix,vc_buf_size,data_flits,lambda,state,dat_class,req_sn_class,sn_dat_peak,sn_dat_avg,e2e_dat_util,sn_req_peak,sn_req_avg,dat_metric,req_metric,stats_file
read,4,2,0.005,RC255,2,1,0.2225,0.2110625,0.21131232,0.1095,0.10268749999999999,read_dat_sent_max,read_req_acc_max,
read,4,2,0.01,RC255,2,1,0.441,0.41093750000000007,0.4094374,0.21675,0.20925,read_dat_sent_max,read_req_acc_max,
read,4,2,0.015,RC255,2,1,0.64225,0.6278125,0.6283117,0.324,0.314875,read_dat_sent_max,read_req_acc_max,
read,4,2,0.016,RC255,2,1,0.68725,0.6743750000000001,0.6736896,0.34725,0.3400625,read_dat_sent_max,read_req_acc_max,
read,4,2,0.018,RC255,2,1,0.749333,0.74508325,0.7440849,0.386667,0.37725,read_dat_sent_max,read_req_acc_max,
read,4,2,0.02,UNSTBL,2,1,0.781429,0.77803575,0.7783945999999999,0.433,0.41989275000000004,read_dat_sent_max,read_req_acc_max,
read,4,2,0.021,UNSTBL,2,1,0.7865,0.77925,0.7788762,0.468,0.443125,read_dat_sent_max,read_req_acc_max,
read,4,2,0.022,UNSTBL,2,1,0.779,0.7765,0.7770014000000001,0.469,0.44825,read_dat_sent_max,read_req_acc_max,
read,4,2,0.023,UNSTBL,2,1,0.783,0.7757499999999999,0.7752513,0.495,0.4805,read_dat_sent_max,read_req_acc_max,
read,4,2,0.024,UNSTBL,2,1,0.793,0.7825000000000001,0.7857519,0.517,0.49724999999999997,read_dat_sent_max,read_req_acc_max,zcn_lp/read_buf4_D2_lam0p024_sn_local_stats.m
read,4,2,0.025,UNSTBL,2,1,0.788,0.7815,0.7810004,0.578,0.534,read_dat_sent_max,read_req_acc_max,
read,4,2,0.026,UNSTBL,2,1,0.781,0.7752500000000001,0.7735012000000001,0.578,0.5562499999999999,read_dat_sent_max,read_req_acc_max,
read,4,2,0.028,UNSTBL,2,1,0.781,0.77475,0.7770014000000001,0.609,0.598,read_dat_sent_max,read_req_acc_max,
read,4,2,0.03,UNSTBL,2,1,0.775,0.76975,0.7647507,0.638,0.6034999999999999,read_dat_sent_max,read_req_acc_max,
read,4,2,0.031,UNSTBL,2,1,0.781,0.778,0.7772508,0.655,0.63225,read_dat_sent_max,read_req_acc_max,
read,4,2,0.032,UNSTBL,2,1,0.783,0.77725,0.7770014000000001,0.673,0.64175,read_dat_sent_max,read_req_acc_max,
read,4,2,0.033,UNSTBL,2,1,0.786,0.7745000000000001,0.7762489,0.658,0.6425,read_dat_sent_max,read_req_acc_max,
read,4,2,0.034,UNSTBL,2,1,0.797,0.7785,0.7744987999999999,0.688,0.6715,read_dat_sent_max,read_req_acc_max,
read,4,2,0.035,UNSTBL,2,1,0.7765,0.776125,0.7610011,0.65,0.642875,read_dat_sent_max,read_req_acc_max,
read,4,2,0.036,UNSTBL,2,1,0.7795,0.7773749999999999,0.7621234,0.675,0.667875,read_dat_sent_max,read_req_acc_max,
read,4,2,0.037,UNSTBL,2,1,0.7855,0.7786249999999999,0.7642519,0.6825,0.6655,read_dat_sent_max,read_req_acc_max,
read,4,2,0.038,UNSTBL,2,1,0.7815,0.7796249999999999,0.7668749,0.732,0.6913750000000001,read_dat_sent_max,read_req_acc_max,
read,4,2,0.039,UNSTBL,2,1,0.7805,0.7766249999999999,0.7638735,0.711,0.6905,read_dat_sent_max,read_req_acc_max,
read,4,2,0.04,UNSTBL,2,1,0.7875,0.7806249999999999,0.7662514,0.694,0.68775,read_dat_sent_max,read_req_acc_max,
read,4,2,0.041,UNSTBL,2,1,0.7895,0.7815,0.7673737,0.7125,0.7051249999999999,read_dat_sent_max,read_req_acc_max,
read,4,2,0.042,UNSTBL,2,1,0.7865,0.780875,0.765873,0.713,0.70225,read_dat_sent_max,read_req_acc_max,
read,4,2,0.043,UNSTBL,2,1,0.7875,0.778875,0.7636240999999999,0.733,0.70625,read_dat_sent_max,read_req_acc_max,
write,4,2,0.005,RC255,5,4,0.2176,0.203,0.20299999,0.111,0.10545,write_dat_acc_max,write_req_acc_max,
write,4,2,0.01,RC255,5,4,0.43975,0.42537499999999995,0.42537492000000005,0.22625,0.2179375,write_dat_acc_max,write_req_acc_max,
write,4,2,0.015,RC255,5,4,0.645,0.6286875000000001,0.6286858,0.323,0.3129375,write_dat_acc_max,write_req_acc_max,
