lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_plat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_plat
0.005,ok,4,0.21124997,0.84499988,0.21106249,0.84424996,0.21124997,13.6576,0.0,0,0.0,0,0.0,
0.01,ok,4,0.41112515,1.6445006,0.40993749,1.63974996,0.41112515,13.9622,0.0,0,0.0,0,0.0,
0.015,ok,4,0.6230012,2.4920048,0.6227518,2.4910072,0.6230012,14.5332,0.0,0,0.0,0,0.0,
0.016,ok,4,0.6757493,2.7029972,0.6749366,2.6997464,0.6757493,14.9741,0.0,0,0.0,0,0.0,
0.018,ok,4,0.7663331,3.0653324,0.7654989,3.0619956,0.7663331,15.463,0.0,0,0.0,0,0.0,
0.02,ok,4,0.8430021,3.3720084,0.8425635,3.370254,0.8430021,16.7776,0.0,0,0.0,0,0.0,
0.021,ok,4,0.8925639,3.5702556,0.8921855,3.568742,0.8925639,19.0365,0.0,0,0.0,0,0.0,
0.022,ok,4,0.9396231,3.7584924,0.9394382,3.7577528,0.9396231,21.6992,0.0,0,0.0,0,0.0,
0.023,ok,4,0.9616777999999999,3.8467111999999997,0.9615014999999999,3.8460059999999996,0.9616777999999999,29.0856,0.0,0,0.0,0,0.0,
0.024,ok,4,0.9983008999999999,3.9932035999999997,0.9983481999999999,3.9933927999999996,0.9983008999999999,94.56749999999998,0.0,0,0.0,0,0.0,
0.025,UNSTBL,4,0.9979053000000001,3.9916212000000004,0.9978924,3.9915696,0.9979053000000001,520.466,0.0,0,0.0,0,0.0,
0.026,UNSTBL,4,0.9986018999999999,3.9944075999999997,0.9984987,3.9939948,0.9986018999999999,500.151,0.0,0,0.0,0,0.0,
0.028,UNSTBL,4,0.9995006,3.9980024,0.9979998999999999,3.9919995999999998,0.9995006,557.539,0.0,0,0.0,0,0.0,
0.03,UNSTBL,4,0.9969979999999999,3.9879919999999998,0.9969979999999999,3.9879919999999998,0.9969979999999999,537.585,0.0,0,0.0,0,0.0,
0.031,UNSTBL,4,0.9984987,3.9939948,0.9977505,3.991002,0.9984987,574.345,0.0,0,0.0,0,0.0,
0.032,UNSTBL,4,0.9967486000000001,3.9869944000000004,0.9969979999999999,3.9879919999999998,0.9967486000000001,661.676,0.0,0,0.0,0,0.0,
0.033,UNSTBL,4,0.995751,3.983004,0.9977505,3.991002,0.995751,724.48,0.0,0,0.0,0,0.0,
0.034,UNSTBL,4,0.995751,3.983004,0.9979998999999999,3.9919995999999998,0.995751,765.377,0.0,0,0.0,0,0.0,
0.035,UNSTBL,4,0.9940009,3.9760036,0.9967486000000001,3.9869944000000004,0.9940009,811.011,0.0,0,0.0,0,0.0,
0.036,UNSTBL,4,0.9952479000000001,3.9809916000000003,0.9964992,3.9859968,0.9952479000000001,852.3069999999999,0.0,0,0.0,0,0.0,
0.037,UNSTBL,4,0.9992512,3.9970048,0.9977505,3.991002,0.9992512,897.7880000000001,0.0,0,0.0,0,0.0,
0.038,UNSTBL,4,0.99975,3.999,0.9990017999999999,3.9960071999999998,0.99975,951.479,0.0,0,0.0,0,0.0,
0.039,UNSTBL,4,0.9979998999999999,3.9919995999999998,0.9977505,3.991002,0.9979998999999999,984.459,0.0,0,0.0,0,0.0,
0.04,UNSTBL,4,0.9972517000000001,3.9890068000000003,0.9982493,3.9929972,0.9972517000000001,1022.27,0.0,0,0.0,0,0.0,
0.041,UNSTBL,4,0.9962498000000001,3.9849992000000003,0.9977505,3.991002,0.9962498000000001,1065.84,0.0,0,0.0,0,0.0,
0.042,UNSTBL,4,1.0002488,4.0009952,0.9979998999999999,3.9919995999999998,1.0002488,1098.65,0.0,0,0.0,0,0.0,
0.043,UNSTBL,4,0.9969979999999999,3.9879919999999998,0.9979998999999999,3.9919995999999998,0.9969979999999999,1120.69,0.0,0,0.0,0,0.0,
