lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_plat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_plat
0.005,ok,4,0.0,0,0.0,0,0.0,,0.20310018,0.81240072,0.20275015999999998,0.8110006399999999,0.20310018,14.081400000000002
0.01,ok,4,0.0,0,0.0,0,0.0,,0.42643745,1.7057498,0.42631231999999997,1.7052492799999999,0.42643745,15.094999999999999
0.015,ok,4,0.0,0,0.0,0,0.0,,0.6270819,2.5083276,0.6274173,2.5096692,0.6270819,17.2486
0.016,ok,4,0.0,0,0.0,0,0.0,,0.6761879000000001,2.7047516000000003,0.6779982,2.7119928,0.6761879000000001,19.3485
0.018,ok,4,0.0,0,0.0,0,0.0,,0.7577503000000001,3.0310012000000004,0.7570322,3.0281288,0.7577503000000001,24.6406
0.02,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8181824999999999,3.2727299999999997,0.8192274,3.2769096,0.8181824999999999,166.838
0.021,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8369993,3.3479972,0.8398846,3.3595384,0.8369993,469.454
0.022,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8503981,3.4015924,0.8508539,3.4034156,0.8503981,475.245
0.023,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8638313,3.4553252,0.8618877,3.4475508,0.8638313,439.252
0.024,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8770709999999999,3.5082839999999997,0.8784642,3.5138568,0.8770709999999999,409.946
0.025,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8825019000000001,3.5300076000000002,0.8769979000000001,3.5079916000000004,0.8825019000000001,194.316
0.026,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8763744,3.5054976,0.8813108,3.5252432,0.8763744,394.96900000000005
0.028,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8975003,3.5900012,0.8842519999999999,3.5370079999999997,0.8975003,258.275
0.03,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8892486,3.5569944,0.903,3.612,0.8892486,274.493
0.031,UNSTBL,4,0.0,0,0.0,0,0.0,,0.9007511,3.6030044,0.9075021,3.6300084,0.9007511,369.718
0.032,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8834995,3.533998,0.885499,3.541996,0.8834995,317.485
0.033,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8827513,3.5310052,0.8942494999999999,3.5769979999999997,0.8827513,337.539
0.034,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8784985999999999,3.5139943999999996,0.8499982,3.3999928,0.8784985999999999,336.475
0.035,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8990009999999999,3.5960039999999998,0.9034987999999999,3.6139951999999997,0.8990009999999999,492.8450000000001
0.036,UNSTBL,4,0.0,0,0.0,0,0.0,,0.9007511,3.6030044,0.9117505,3.647002,0.9007511,561.38
0.037,UNSTBL,4,0.0,0,0.0,0,0.0,,0.9019981,3.6079924,0.9260007,3.7040028,0.9019981,388.696
0.038,UNSTBL,4,0.0,0,0.0,0,0.0,,0.9255019,3.7020076,0.9162483,3.6649932,0.9255019,598.686
0.039,UNSTBL,4,0.0,0,0.0,0,0.0,,0.909751,3.639004,0.9170008000000001,3.6680032000000002,0.909751,583.483
0.04,UNSTBL,4,0.0,0,0.0,0,0.0,,0.9014993,3.6059972,0.9147519,3.6590076,0.9014993,614.712
0.041,UNSTBL,4,0.0,0,0.0,0,0.0,,0.8860021,3.5440084,0.8845014,3.5380056,0.8860021,525.483
0.042,UNSTBL,4,0.0,0,0.0,0,0.0,,0.909751,3.639004,0.9185015000000001,3.6740060000000003,0.909751,578.644
0.043,UNSTBL,4,0.0,0,0.0,0,0.0,,0.917749,3.670996,0.932498,3.729992,0.917749,789.115
