mix,vc_buf_size,data_flits,lambda,state,dat_class,req_sn_class,sn_dat_peak,sn_dat_avg,e2e_dat_util,sn_req_peak,sn_req_avg,dat_metric,req_metric,stats_file
read,4,2,0.005,RC255,2,1,0.2225,0.2110625,0.21093736,0.11025,0.1030625,read_dat_sent_max,read_req_acc_max,
read,4,2,0.01,RC255,2,1,0.441,0.4098125,0.40893731,0.2205,0.2108125,read_dat_sent_max,read_req_acc_max,
read,4,2,0.015,RC255,2,1,0.6608,0.62485,0.6242482,0.3212,0.3172,read_dat_sent_max,read_req_acc_max,
read,4,2,0.016,UNSTBL,2,1,0.672538,0.6345385,0.6343274,0.340231,0.337577,read_dat_sent_max,read_req_acc_max,
read,4,2,0.018,UNSTBL,2,1,0.686,0.6305000000000001,0.6292491,0.402,0.38575000000000004,read_dat_sent_max,read_req_acc_max,
read,4,2,0.02,UNSTBL,2,1,0.699,0.63975,0.641001,0.427,0.41875,read_dat_sent_max,read_req_acc_max,
read,4,2,0.021,UNSTBL,2,1,0.73,0.65175,0.6497515,0.442,0.4285,read_dat_sent_max,read_req_acc_max,zcn/read_buf4_D2_lam0p021_sn_local_stats.m
read,4,2,0.022,UNSTBL,2,1,0.664,0.62525,0.6204986,0.492,0.46950000000000003,read_dat_sent_max,read_req_acc_max,
read,4,2,0.023,UNSTBL,2,1,0.683,0.6295000000000001,0.6280021,0.5,0.48424999999999996,read_dat_sent_max,read_req_acc_max,
read,4,2,0.024,UNSTBL,2,1,0.678,0.63225,0.6307498,0.542,0.5215000000000001,read_dat_sent_max,read_req_acc_max,
read,4,2,0.025,UNSTBL,2,1,0.706,0.6435,0.6434993,0.554,0.53375,read_dat_sent_max,read_req_acc_max,
read,4,2,0.026,UNSTBL,2,1,0.696,0.6419999999999999,0.6414998000000001,0.56,0.543,read_dat_sent_max,read_req_acc_max,
read,4,2,0.028,UNSTBL,2,1,0.711,0.64075,0.6422479999999999,0.65,0.62325,read_dat_sent_max,read_req_acc_max,
read,4,2,0.03,UNSTBL,2,1,0.6815,0.636125,0.6223734,0.639,0.6132500000000001,read_dat_sent_max,read_req_acc_max,
read,4,2,0.031,UNSTBL,2,1,0.685,0.637,0.6217499,0.656,0.64625,read_dat_sent_max,read_req_acc_max,
read,4,2,0.032,UNSTBL,2,1,0.683,0.6395,0.626123,0.649,0.64075,read_dat_sent_max,read_req_acc_max,
read,4,2,0.033,UNSTBL,2,1,0.692,0.631625,0.618125,0.6635,0.6455,read_dat_sent_max,read_req_acc_max,
read,4,2,0.034,UNSTBL,2,1,0.7025,0.6485000000000001,0.6353766,0.667,0.658375,read_dat_sent_max,read_req_acc_max,
read,4,2,0.035,UNSTBL,2,1,0.697,0.642625,0.6286256,0.677,0.664375,read_dat_sent_max,read_req_acc_max,
read,4,2,0.036,UNSTBL,2,1,0.694,0.6456249999999999,0.6323752,0.6745,0.66075,read_dat_sent_max,read_req_acc_max,
read,4,2,0.037,UNSTBL,2,1,0.693,0.647875,0.6337512000000001,0.6865,0.679625,read_dat_sent_max,read_req_acc_max,
read,4,2,0.038,UNSTBL,2,1,0.6935,0.63575,0.620748,0.704,0.6765000000000001,read_dat_sent_max,read_req_acc_max,
read,4,2,0.039,UNSTBL,2,1,0.7045,0.639875,0.6251254,0.691,0.68025,read_dat_sent_max,read_req_acc_max,
read,4,2,0.04,UNSTBL,2,1,0.697,0.633,0.6197504,0.7035,0.681875,read_dat_sent_max,read_req_acc_max,
read,4,2,0.041,UNSTBL,2,1,0.685,0.633375,0.618125,0.702,0.692375,read_dat_sent_max,read_req_acc_max,
read,4,2,0.042,UNSTBL,2,1,0.6965,0.649375,0.6360001000000001,0.702,0.6876249999999999,read_dat_sent_max,read_req_acc_max,
read,4,2,0.043,UNSTBL,2,1,0.6825,0.637375,0.6245018999999999,0.7085,0.6893750000000001,read_dat_sent_max,read_req_acc_max,
write,4,2,0.005,RC255,5,4,0.2164,0.20245,0.20245002,0.1112,0.1056,write_dat_acc_max,write_req_acc_max,
write,4,2,0.01,RC255,5,4,0.439,0.42425,0.42425004,0.226,0.218,write_dat_acc_max,write_req_acc_max,
write,4,2,0.015,RC255,5,4,0.647333,0.62549975,0.6254995,0.327333,0.313583,write_dat_acc_max,write_req_acc_max,
write,4,2,0.016,RC255,5,4,0.6935,0.677625,0.6776241000000001,0.33675,0.33187500000000003,write_dat_acc_max,write_req_acc_max,
write,4,2,0.018,RC255,5,4,0.776,0.7571874999999999,0.7571869999999999,0.39575,0.3768125,write_dat_acc_max,write_req_acc_max,
write,4,2,0.02,UNSTBL,5,4,0.786625,0.7796719999999999,0.7796717,0.425063,0.421047,write_dat_acc_max,write_req_acc_max,
write,4,2,0.021,UNSTBL,5,4,0.800667,0.7812085,0.7812068,0.454833,0.44591675,write_dat_acc_max,write_req_acc_max,
write,4,2,0.022,UNSTBL,5,4,0.8355,0.8030625,0.8030636999999999,0.485,0.46237500000000004,write_dat_acc_max,write_req_acc_max,
write,4,2,0.023,UNSTBL,5,4,0.827,0.7985,0.7985014,0.528,0.492,write_dat_acc_max,write_req_acc_max,
