lambda,state,n_sn,read_acc_per_sn,read_acc_total,read_inj_per_sn,read_inj_total,read_util,read_plat,write_acc_per_sn,write_acc_total,write_inj_per_sn,write_inj_total,write_util,write_plat
0.005,ok,4,0.2039240514,0.8156962056,0.20393480139999995,0.8157392055999998,0.2039240514,36.09511030548582,0.0,0,0.0,0,0.0,
0.01,ok,4,0.405615087,1.622460348,0.405942317,1.623769268,0.405615087,37.683879366025906,0.0,0,0.0,0,0.0,
0.015,ok,4,0.607339267,2.429357068,0.607141467,2.428565868,0.607339267,146.22680180758246,0.0,0,0.0,0,0.0,
0.016,UNSTBL,4,0.623801903,2.495207612,0.623601953,2.494407812,0.623801903,414.50409083981475,0.0,0,0.0,0,0.0,
0.018,UNSTBL,4,0.627251062,2.509004248,0.629247896,2.516991584,0.627251062,385.4570203015321,0.0,0,0.0,0,0.0,
0.02,UNSTBL,4,0.6292502609999999,2.5170010439999997,0.624751171,2.499004684,0.6292502609999999,465.7518530130431,0.0,0,0.0,0,0.0,
0.021,UNSTBL,4,0.640248887,2.560995548,0.638748273,2.554993092,0.640248887,583.2569174331604,0.0,0,0.0,0,0.0,
0.022,UNSTBL,4,0.6324983949999999,2.5299935799999997,0.6312495889999999,2.5249983559999998,0.6324983949999999,660.455912955304,0.0,0,0.0,0,0.0,
0.023,UNSTBL,4,0.6204995030000001,2.4819980120000005,0.619751303,2.479005212,0.6204995030000001,759.2302518500788,0.0,0,0.0,0,0.0,
0.024,UNSTBL,4,0.5986249299999999,2.3944997199999998,0.61375018,2.45500072,0.5986249299999999,358.51350965678296,0.0,0,0.0,0,0.0,
0.025,UNSTBL,4,0.6243746200000001,2.4974984800000004,0.6382490000000001,2.5529960000000003,0.6243746200000001,346.6891760837556,0.0,0,0.0,0,0.0,
0.026,UNSTBL,4,0.609624932,2.438499728,0.6226248640000001,2.4904994560000002,0.609624932,357.4630988303153,0.0,0,0.0,0,0.0,
0.028,UNSTBL,4,0.6101248499999999,2.4404993999999998,0.6233750419999999,2.4935001679999997,0.6101248499999999,384.4253917246167,0.0,0,0.0,0,0.0,
0.03,UNSTBL,4,0.612625128,2.450500512,0.62500027,2.50000108,0.612625128,396.8670418629171,0.0,0,0.0,0,0.0,
0.031,UNSTBL,4,0.6090002710000001,2.4360010840000004,0.623999703,2.495998812,0.6090002710000001,397.39876903817793,0.0,0,0.0,0,0.0,
0.032,UNSTBL,4,0.6186248320000001,2.4744993280000003,0.632624686,2.530498744,0.6186248320000001,408.6995175269612,0.0,0,0.0,0,0.0,
0.033,UNSTBL,4,0.631749851,2.526999404,0.644250037,2.577000148,0.631749851,400.92530801211853,0.0,0,0.0,0,0.0,
0.034,UNSTBL,4,0.626375066,2.505500264,0.638625336,2.554501344,0.626375066,412.2526310310896,0.0,0,0.0,0,0.0,
0.035,UNSTBL,4,0.6267499830000001,2.5069999320000003,0.640124875,2.5604995,0.6267499830000001,416.0654198106134,0.0,0,0.0,0,0.0,
0.036,UNSTBL,4,0.625624888,2.502499552,0.63887508,2.55550032,0.625624888,410.4418588665552,0.0,0,0.0,0,0.0,
0.037,UNSTBL,4,0.624124919,2.496499676,0.637999729,2.551998916,0.624124919,418.90784744541213,0.0,0,0.0,0,0.0,
0.038,UNSTBL,4,0.614749973,2.458999892,0.629750265,2.51900106,0.614749973,427.8628319205504,0.0,0,0.0,0,0.0,
0.039,UNSTBL,4,0.625999805,2.50399922,0.6408749669999999,2.5634998679999996,0.625999805,419.57042746711716,0.0,0,0.0,0,0.0,
0.04,UNSTBL,4,0.6138749229999999,2.4554996919999996,0.627749905,2.51099962,0.6138749229999999,428.87910992076934,0.0,0,0.0,0,0.0,
0.041,UNSTBL,4,0.622999953,2.491999812,0.6389998229999999,2.5559992919999996,0.622999953,463.9057058556893,0.0,0,0.0,0,0.0,
0.042,UNSTBL,4,0.621374811,2.485499244,0.63587497,2.54349988,0.621374811,455.2349525513825,0.0,0,0.0,0,0.0,
0.043,UNSTBL,4,0.6259999770000001,2.5039999080000004,0.6403747909999999,2.5614991639999998,0.6259999770000001,474.95132325981365,0.0,0,0.0,0,0.0,
