offered_inj,state,lat_all,acc_all,lat_c0,acc_c0,lat_c1,acc_c1
0.004,ok,,,30.562,0.0277758,28.0881,0.00404365
0.006,ok,,,30.5014,0.0398051,28.2692,0.00631101
0.008,ok,,,30.9682,0.0535933,28.6072,0.00860317
0.01,ok,,,31.343,0.0660417,28.4097,0.0109087
0.011,ok,,,31.9575,0.0716151,28.9608,0.0120754
0.012,ok,,,32.1686,0.0778829,29.256,0.0131845
0.013,ok,,,33.4923,0.0839152,29.8902,0.0143378
0.014,ok,,,37.715,0.0874651,38.1557,0.015966
0.015,ok,,,59.3156,0.0903053,105.262,0.0176403
0.016,SAT,,,,,,
